,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
65,1,3,445119,15,0,1,2,5,2,2,1,3,1,10,0,1,6405,909020,17511,0,6
66,1,3,598378,13,1,1,2,5,2,2,1,2,1,10,0,2,11778,980732,15020,0,7
67,1,3,695823,24,0,1,2,5,2,2,1,1,1,10,0,2,9608,1001510,14525,0,9
70,1,3,141133,21,1,1,2,5,2,2,1,1,1,10,0,2,8693,1233187,16077,0,7
71,1,3,402533,11,0,1,2,5,2,2,1,3,1,10,0,2,10700,1144271,17361,0,7
72,1,3,464552,13,1,1,2,5,2,2,1,1,1,10,0,2,4819,911230,13055,0,8
73,1,3,557110,11,0,1,2,5,2,2,1,2,1,10,0,2,8557,922105,14788,0,7
74,1,3,606039,16,1,1,2,5,2,2,1,3,1,10,0,1,4753,556824,15715,0,9
75,1,3,475184,15,0,1,2,5,2,2,1,2,1,10,0,2,10244,1429656,10203,0,8
77,1,3,777663,18,0,1,2,5,2,2,1,2,1,10,0,2,4480,1370283,16619,0,7
78,1,3,197664,18,1,1,2,5,2,2,1,1,1,10,0,3,4464,800328,16201,0,8
79,1,3,505385,11,0,1,2,5,2,2,1,2,1,10,0,2,9852,690450,8474,0,6
80,1,3,685977,24,1,1,2,5,2,2,1,1,1,10,0,3,5029,436358,17934,0,9
81,1,3,317361,23,0,1,2,5,2,2,1,2,1,10,0,3,8807,900288,12263,0,9
82,1,3,461385,21,1,1,2,5,2,2,1,3,1,10,0,1,11639,884482,9536,0,9
83,1,3,584065,24,0,1,2,5,2,2,1,2,1,10,0,1,8368,1366202,10966,0,7
84,1,3,522489,21,1,1,2,5,2,2,1,3,1,10,0,3,8157,591823,17945,0,7
85,1,3,137116,15,0,1,2,5,2,2,1,2,1,10,0,3,7033,1074148,12806,0,7
86,1,3,640133,17,1,1,2,5,2,2,1,2,1,10,0,2,3600,685876,12713,0,6
87,1,3,169182,10,0,1,2,5,2,2,1,2,1,10,0,2,9463,1223803,8690,0,6
88,1,3,352362,10,1,1,2,5,2,2,1,1,1,10,0,3,8973,1336122,9567,0,9
90,1,3,409535,16,1,1,2,5,2,2,1,2,1,10,0,3,8118,1256233,19163,0,6
91,1,3,534178,16,0,1,2,5,2,2,1,2,1,10,0,3,6855,1199910,15580,0,8
93,1,3,226900,16,0,1,2,5,2,2,1,2,1,10,0,1,9777,679777,15057,0,8
99,1,3,140752,19,0,1,2,5,2,2,1,3,1,10,0,3,11799,526880,12226,0,9
100,6,3,696830,18,1,1,2,6,2,2,1,3,1,10,0,1,4102,1395602,9790,0,9
101,6,3,589976,17,0,1,2,6,2,2,1,1,1,10,0,1,8281,806983,18287,0,8
102,6,3,551583,11,1,1,2,6,2,2,1,3,1,10,0,1,10383,562038,19631,0,8
103,6,3,517695,18,0,1,2,6,2,2,1,3,1,10,0,3,5428,546043,15577,0,8
104,6,3,614039,13,1,1,2,6,2,2,1,3,1,10,0,2,6684,1215501,17239,0,8
106,6,3,361713,11,1,1,2,6,2,2,1,3,1,10,0,2,10753,984563,18171,0,8
107,6,3,668010,13,0,1,2,6,2,2,1,2,1,10,0,2,7132,1302913,18138,0,6
109,6,3,377150,22,0,1,2,6,2,2,1,1,1,10,0,2,6015,1202187,11512,0,9
110,6,3,436751,10,1,1,2,6,2,2,1,3,1,10,0,2,4466,795767,17972,0,9
111,6,3,260873,15,0,1,2,6,2,2,1,2,1,10,0,3,8145,432222,8619,0,7
113,6,3,418570,17,0,1,2,6,2,2,1,3,1,10,0,1,8955,430165,17700,0,9
114,6,3,741127,12,1,1,2,6,2,2,1,2,1,10,0,3,7573,909932,17632,0,7
115,6,3,143740,20,0,1,2,6,2,2,1,2,1,10,0,3,9350,989198,12460,0,6
117,6,3,584865,14,0,1,2,6,2,2,1,1,1,10,0,2,7084,1049055,17446,0,9
119,6,3,674891,15,0,1,2,6,2,2,1,3,1,10,0,1,8721,462999,19583,0,7
120,6,3,784252,10,1,1,2,6,2,2,1,3,1,10,0,1,6807,593755,18540,0,7
121,6,3,320031,22,0,1,2,6,2,2,1,3,1,10,0,3,10259,1304388,12095,0,9
122,6,3,586171,16,1,1,2,6,2,2,1,2,1,10,0,3,8167,986044,11267,0,8
123,6,3,426166,12,0,1,2,6,2,2,1,2,1,10,0,1,4460,527257,14105,0,9
124,6,3,408337,22,1,1,2,6,2,2,1,3,1,10,0,1,12483,911219,11297,0,6
126,6,3,269188,20,1,1,2,6,2,2,1,1,1,10,0,3,8530,602708,12392,0,7
128,6,3,105577,20,1,1,2,6,2,2,1,1,1,10,0,1,6671,1338424,14368,0,9
129,6,3,787954,14,0,1,2,6,2,2,1,3,1,10,0,2,4649,1158899,11021,0,6
130,6,3,462446,17,1,1,2,6,2,2,1,1,1,10,0,3,12169,924297,18802,0,7
132,6,3,489336,17,1,1,2,6,2,2,1,2,1,10,0,1,10760,1337201,10205,0,7
133,6,3,513874,15,0,1,2,6,2,2,1,2,1,10,0,3,4144,1073726,13200,0,7
134,6,3,656453,17,1,1,2,6,2,2,1,3,1,10,0,2,3613,1315891,9060,0,8
135,6,3,609577,16,0,1,2,6,2,2,1,2,1,10,0,2,9671,677064,12632,0,7
136,6,3,386539,15,1,1,2,6,2,2,1,3,1,10,0,3,12422,1319239,9775,0,8
139,6,3,527945,18,0,1,2,6,2,2,1,1,1,10,0,3,6345,1391346,11721,0,9
140,6,3,676083,23,1,1,2,6,2,2,1,3,1,10,0,3,8945,438094,8358,0,8
141,6,3,401931,14,0,1,2,6,2,2,1,2,1,10,0,1,8214,472127,8037,0,9
142,6,3,121821,23,1,1,2,6,2,2,1,2,1,10,0,2,4938,934288,19728,0,8
143,6,3,693005,23,0,1,2,6,2,2,1,2,1,10,0,3,3699,623478,15832,0,9
144,6,3,384255,12,1,1,2,6,2,2,1,3,1,10,0,3,4008,552448,12142,0,8
145,6,3,740785,12,0,1,2,6,2,2,1,1,1,10,0,3,8222,842418,7731,0,8
146,6,3,557554,16,1,1,2,6,2,2,1,1,1,10,0,3,8932,646904,9306,0,6
147,6,3,242183,23,0,1,2,6,2,2,1,1,1,10,0,3,8582,1307524,12481,0,8
148,6,3,173436,22,1,1,2,6,2,2,1,3,1,10,0,2,12246,1214167,10543,0,7
149,6,3,237187,17,0,1,2,6,2,2,1,2,1,10,0,3,6858,1172482,8439,0,8
150,6,3,331828,12,1,1,2,6,2,2,1,1,1,10,0,1,9975,873957,13293,0,8
153,6,3,635895,13,0,1,2,6,2,2,1,2,1,10,0,2,9895,1334964,14696,0,7
154,6,3,695807,21,1,1,2,6,2,2,1,2,1,10,0,3,10954,923249,19041,0,8
156,6,3,365141,19,1,1,2,6,2,2,1,3,1,10,0,3,5530,1146292,16147,0,6
158,6,3,202336,22,1,1,2,6,2,2,1,2,1,10,0,2,5235,859039,14414,0,9
159,6,3,440879,18,0,1,2,6,2,2,1,1,1,10,0,2,7039,727197,10504,0,7
160,6,3,275895,18,1,1,2,6,2,2,1,2,1,10,0,1,12536,440704,19217,0,8
161,6,3,192042,17,0,1,2,6,2,2,1,3,1,10,0,2,11707,787581,11892,0,8
162,6,3,144562,22,1,1,2,6,2,2,1,2,1,10,0,1,8236,1256236,16914,0,7
163,6,3,540001,17,0,1,2,6,2,2,1,3,1,10,0,3,8602,1113986,13667,0,7
164,6,3,254064,19,1,1,2,6,2,2,1,2,1,10,0,3,9043,787944,18526,0,9
165,6,3,191277,19,0,1,2,6,2,2,1,2,1,10,0,1,11987,742295,16996,0,9
166,6,3,165333,18,1,1,2,6,2,2,1,2,1,10,0,3,7894,1336811,14694,0,9
167,6,3,602067,20,0,1,2,6,2,2,1,2,1,10,0,2,5406,786869,15973,0,7
168,6,3,388865,20,1,1,2,6,2,2,1,3,1,10,0,2,6988,1388365,19265,0,8
169,6,3,699257,22,0,1,2,6,2,2,1,2,1,10,0,3,11899,420576,16052,0,9
170,6,3,708619,16,1,1,2,6,2,2,1,2,1,10,0,1,4658,1440306,17423,0,9
171,6,3,662151,13,0,1,2,6,2,2,1,2,1,10,0,1,6358,984358,8233,0,7
172,6,3,371469,12,1,1,2,6,2,2,1,3,1,10,0,2,9980,734075,14810,0,6
173,6,3,314438,17,0,1,2,6,2,2,1,2,1,10,0,3,7222,428416,12522,0,8
174,6,3,277066,23,1,1,2,6,2,2,1,3,1,10,0,1,5949,898568,8769,0,8
175,6,3,206912,13,0,1,2,6,2,2,1,3,1,10,0,2,12098,618117,8469,0,7
176,6,3,311541,16,1,1,2,6,2,2,1,1,1,10,0,3,4808,1341881,9013,0,7
178,6,3,208272,23,1,1,2,6,2,2,1,3,1,10,0,2,9005,723345,13687,0,9
179,6,3,653510,20,0,1,2,6,2,2,1,3,1,10,0,1,11859,1446900,10811,0,7
180,6,3,180804,10,1,1,2,6,2,2,1,2,1,10,0,2,11098,1331507,19835,0,6
181,6,3,639935,22,0,1,2,6,2,2,1,1,1,10,0,1,11521,848025,8134,0,6
182,6,3,724090,17,1,1,2,6,2,2,1,1,1,10,0,3,9345,849337,11947,0,8
183,6,3,159785,14,0,1,2,6,2,2,1,1,1,10,0,3,7030,1140469,11140,0,9
184,6,3,502899,23,1,1,2,6,2,2,1,2,1,10,0,2,8004,767665,12517,0,9
186,6,3,318244,14,1,1,2,6,2,2,1,1,1,10,0,1,12337,1134223,19501,0,8
187,6,3,424268,11,0,1,2,6,2,2,1,3,1,10,0,2,8760,1406634,15761,0,6
188,6,3,687914,24,1,1,2,6,2,2,1,2,1,10,0,2,9463,534165,8941,0,6
190,6,3,324626,24,1,1,2,6,2,2,1,3,1,10,0,2,11727,1157409,15521,0,6
191,6,3,449140,21,0,1,2,6,2,2,1,2,1,10,0,2,5083,842189,17664,0,6
192,6,3,570416,17,1,1,2,6,2,2,1,1,1,10,0,1,6297,1338876,14094,0,9
193,6,3,156405,11,0,1,2,6,2,2,1,3,1,10,0,2,3926,1275482,7832,0,9
195,6,3,238022,23,0,1,2,6,2,2,1,2,1,10,0,3,7330,801624,19817,0,9
196,6,3,372159,15,1,1,2,6,2,2,1,3,1,10,0,2,6118,753478,17923,0,8
197,6,3,619477,18,0,1,2,6,2,2,1,1,1,10,0,1,11968,906233,17621,0,8
198,6,3,680649,24,1,1,2,6,2,2,1,3,1,10,0,3,6376,441212,18404,0,8
199,6,3,291391,11,0,1,2,6,2,2,1,2,1,10,0,2,6551,1423554,12038,0,9
201,2,1,277808,16,0,1,2,7,6,2,2,1,1,11,0,3,5994,920143,15724,0,9
202,2,1,315406,21,1,1,2,7,6,2,2,3,1,11,0,3,5249,726880,18518,0,8
203,2,1,522160,12,0,1,2,7,6,2,2,2,1,11,0,2,4424,968181,18236,0,6
204,2,1,668840,18,1,1,2,7,6,2,2,3,1,11,0,3,9170,1099311,7775,0,7
205,2,1,404623,16,0,1,2,7,6,2,2,1,1,11,0,2,12195,675731,14534,0,8
206,2,1,410589,24,1,1,2,7,6,2,2,2,1,11,0,3,3954,1229131,11034,0,6
207,2,1,118209,24,0,1,2,7,6,2,2,1,1,11,0,2,7826,563060,11310,0,9
208,2,1,783134,18,1,1,2,7,6,2,2,3,1,11,0,1,4308,732306,18763,0,9
209,2,1,620152,20,0,1,2,7,6,2,2,1,1,11,0,3,4910,1249424,10006,0,6
210,2,1,528176,23,1,1,2,7,6,2,2,2,1,11,0,2,8242,1200318,17393,0,7
211,2,1,632334,20,0,1,2,7,6,2,2,2,1,11,0,1,4938,745454,9265,0,7
212,2,1,290763,12,1,1,2,7,6,2,2,1,1,11,0,1,4547,478607,18129,0,6
213,2,1,111645,14,0,1,2,7,6,2,2,1,1,11,0,1,10771,933472,8640,0,8
214,2,1,273371,11,1,1,2,7,6,2,2,1,1,11,0,3,6075,1175672,8758,0,7
215,2,1,162119,16,0,1,2,7,6,2,2,1,1,11,0,3,4835,1272271,8918,0,6
216,2,1,717226,24,1,1,2,7,6,2,2,2,1,11,0,1,9166,976361,13450,0,7
217,2,1,574186,11,0,1,2,7,6,2,2,3,1,11,0,2,8600,786665,7867,0,9
218,2,1,655447,21,1,1,2,7,6,2,2,3,1,11,0,3,9347,662504,19695,0,7
222,2,1,750375,21,1,1,2,7,6,2,2,1,1,11,0,1,9063,1288954,15923,0,9
223,2,1,619321,12,0,1,2,7,6,2,2,2,1,11,0,2,5125,683546,18989,0,9
224,2,1,149632,14,1,1,2,7,6,2,2,1,1,11,0,2,8198,1324214,10822,0,8
225,2,1,227717,22,0,1,2,7,6,2,2,2,1,11,0,2,7027,678646,16922,0,7
228,2,1,734436,24,1,1,2,7,6,2,2,3,1,11,0,3,8989,464969,14163,0,9
229,2,1,496612,20,0,1,2,7,6,2,2,1,1,11,0,2,6980,712869,9250,0,8
230,2,1,753421,15,1,1,2,7,6,2,2,2,1,11,0,3,4360,510015,17508,0,9
232,2,1,688535,15,1,1,2,7,6,2,2,2,1,11,0,2,9862,1174216,13315,0,6
234,2,1,607916,21,1,1,2,7,6,2,2,3,1,11,0,3,6807,519605,19915,0,9
235,2,1,168456,12,0,1,2,7,6,2,2,1,1,11,0,2,4020,1117874,8165,0,9
236,2,1,779364,24,1,1,2,7,6,2,2,3,1,11,0,3,9804,914763,18819,0,6
237,2,1,455589,21,0,1,2,7,6,2,2,2,1,11,0,2,11771,1421691,12165,0,8
238,2,1,215890,23,1,1,2,7,6,2,2,1,1,11,0,3,10831,1332591,11117,0,6
240,2,1,515650,16,1,1,2,7,6,2,2,2,1,11,0,1,10436,456484,19553,0,7
242,2,1,140130,10,1,1,2,7,6,2,2,1,1,11,0,1,9839,733762,15972,0,6
243,2,1,778563,17,0,1,2,7,6,2,2,3,1,11,0,1,4015,914178,9688,0,6
244,2,1,778990,10,1,1,2,7,6,2,2,1,1,11,0,3,8674,1173425,11363,0,6
245,2,1,575864,10,0,1,2,7,6,2,2,3,1,11,0,3,11477,851245,13619,0,9
246,2,1,308787,23,1,1,2,7,6,2,2,2,1,11,0,1,11930,921067,9687,0,8
249,2,1,569773,22,0,1,2,7,6,2,2,3,1,11,0,1,12270,927621,17770,0,8
250,2,1,117196,19,1,1,2,7,6,2,2,1,1,11,0,3,9844,1158878,10524,0,8
251,2,1,356308,11,0,1,2,7,6,2,2,3,1,11,0,2,4010,909203,16657,0,8
252,2,1,510507,10,1,1,2,7,6,2,2,2,1,11,0,1,5452,524129,11373,0,7
253,2,1,429475,17,0,1,2,7,6,2,2,3,1,11,0,2,8698,872693,11454,0,8
254,2,1,781070,24,1,1,2,7,6,2,2,2,1,11,0,1,7520,1404447,19695,0,6
255,2,1,534860,24,0,1,2,7,6,2,2,3,1,11,0,2,3689,552404,11282,0,7
256,2,1,443237,16,1,1,2,7,6,2,2,1,1,11,0,1,4713,1253129,13821,0,9
257,2,1,110270,17,0,1,2,7,6,2,2,2,1,11,0,1,11241,1041791,17527,0,9
259,2,1,693756,15,0,1,2,7,6,2,2,1,1,11,0,2,10039,1409810,8029,0,9
260,2,1,545322,12,1,1,2,7,6,2,2,2,1,11,0,3,3778,683226,10012,0,9
261,2,1,537783,22,0,1,2,7,6,2,2,3,1,11,0,1,12168,923912,17387,0,8
262,2,1,490269,22,1,1,2,7,6,2,2,2,1,11,0,1,11964,957113,15962,0,7
263,2,1,152834,18,0,1,2,7,6,2,2,1,1,11,0,3,12209,968598,14274,0,7
265,2,1,288858,18,0,1,2,7,6,2,2,1,1,11,0,1,10705,826643,13145,0,6
266,2,1,796783,19,1,1,2,7,6,2,2,3,1,11,0,3,6722,894256,8474,0,6
267,2,1,464105,17,0,1,2,7,6,2,2,2,1,11,0,2,6028,912804,17828,0,6
269,2,1,366443,14,0,1,2,7,6,2,2,3,1,11,0,1,6925,1373195,11229,0,8
272,2,1,709223,10,1,1,2,7,6,2,2,1,1,11,0,3,10912,747194,8700,0,8
273,2,1,232174,17,0,1,2,7,6,2,2,2,1,11,0,3,8704,1424210,16733,0,8
274,2,1,392675,10,1,1,2,7,6,2,2,1,1,11,0,3,6508,725973,18212,0,7
275,2,1,785190,24,0,1,2,7,6,2,2,1,1,11,0,2,7920,787762,8253,0,6
276,2,1,389037,17,1,1,2,7,6,2,2,3,1,11,0,2,9694,856852,13678,0,7
277,2,1,344937,10,0,1,2,7,6,2,2,3,1,11,0,3,9154,1111958,7952,0,9
278,2,1,371414,11,1,1,2,7,6,2,2,2,1,11,0,3,10149,861331,10098,0,7
279,2,1,350357,11,0,1,2,7,6,2,2,2,1,11,0,3,3723,666978,10494,0,6
280,2,1,644275,13,1,1,2,7,6,2,2,1,1,11,0,3,10890,560709,16722,0,6
281,2,1,540458,13,0,1,2,7,6,2,2,2,1,11,0,1,8772,511113,12003,0,9
283,2,1,142373,23,0,1,2,7,6,2,2,3,1,11,0,3,4709,820970,14346,0,9
285,2,1,409648,20,0,1,2,7,6,2,2,1,1,11,0,2,5234,757672,8656,0,7
287,2,1,505880,11,0,1,2,7,6,2,2,2,1,11,0,3,11678,923722,10608,0,9
288,2,1,478791,22,1,1,2,7,6,2,2,1,1,11,0,3,10449,947178,8195,0,8
290,2,1,699726,17,1,1,2,7,6,2,2,3,1,11,0,1,3894,661899,19592,0,9
291,2,1,747840,15,0,1,2,7,6,2,2,3,1,11,0,1,7771,1372066,9869,0,8
292,2,1,751383,17,1,1,2,7,6,2,2,3,1,11,0,3,7415,786940,14141,0,6
294,2,1,642387,15,1,1,2,7,6,2,2,1,1,11,0,2,8437,1401546,16575,0,8
295,2,1,252321,22,0,1,2,7,6,2,2,1,1,11,0,3,6580,916589,12344,0,6
296,2,1,762218,22,1,1,2,7,6,2,2,3,1,11,0,3,12463,1000613,19875,0,9
299,2,1,693030,12,0,1,2,7,6,2,2,2,1,11,0,3,9472,556397,14457,0,6
300,7,4,133997,20,1,1,2,8,6,2,2,2,1,10,0,2,9337,1014049,12352,0,7
301,7,4,679931,12,0,1,2,8,6,2,2,1,1,10,0,3,4127,506017,14417,0,6
302,7,4,412136,24,1,1,2,8,6,2,2,2,1,10,0,1,8564,1445590,18297,0,7
303,7,4,717899,12,0,1,2,8,6,2,2,1,1,10,0,1,7875,1222921,9017,0,6
304,7,4,578142,16,1,1,2,8,6,2,2,3,1,10,0,2,10218,788454,9434,0,8
306,7,4,113876,22,1,1,2,8,6,2,2,1,1,10,0,1,8545,522684,9933,0,9
307,7,4,276333,21,0,1,2,8,6,2,2,3,1,10,0,1,10075,821938,10036,0,6
308,7,4,612061,21,1,1,2,8,6,2,2,3,1,10,0,3,9495,659739,15173,0,7
309,7,4,516413,20,0,1,2,8,6,2,2,3,1,10,0,2,9767,820630,8423,0,8
310,7,4,411223,13,1,1,2,8,6,2,2,3,1,10,0,2,10825,994182,9550,0,7
311,7,4,508897,11,0,1,2,8,6,2,2,2,1,10,0,3,11983,837609,9445,0,8
312,7,4,283019,10,1,1,2,8,6,2,2,3,1,10,0,2,11781,924968,8422,0,7
314,7,4,771209,19,1,1,2,8,6,2,2,3,1,10,0,1,9364,1060533,13438,0,6
315,7,4,500605,21,0,1,2,8,6,2,2,2,1,10,0,3,4551,1181638,19641,0,6
316,7,4,662824,21,1,1,2,8,6,2,2,1,1,10,0,2,12111,900554,16989,0,8
318,7,4,390725,21,1,1,2,8,6,2,2,2,1,10,0,2,3600,1371353,9577,0,7
321,7,4,437808,23,0,1,2,8,6,2,2,1,1,10,0,3,7863,636475,9532,0,9
322,7,4,143213,20,1,1,2,8,6,2,2,1,1,10,0,1,5842,606225,9385,0,7
323,7,4,213863,11,0,1,2,8,6,2,2,3,1,10,0,2,11616,679392,9157,0,7
324,7,4,163163,22,1,1,2,8,6,2,2,1,1,10,0,3,7886,794442,8856,0,8
325,7,4,265893,19,0,1,2,8,6,2,2,1,1,10,0,2,11362,659893,11615,0,6
326,7,4,228418,20,1,1,2,8,6,2,2,1,1,10,0,3,4179,1381305,10335,0,7
327,7,4,378733,10,0,1,2,8,6,2,2,2,1,10,0,3,7437,783806,16623,0,7
328,7,4,731851,11,1,1,2,8,6,2,2,3,1,10,0,1,10636,859003,15649,0,6
329,7,4,273997,23,0,1,2,8,6,2,2,1,1,10,0,1,6155,631797,17474,0,8
330,7,4,780223,22,1,1,2,8,6,2,2,2,1,10,0,3,9750,589463,16010,0,6
331,7,4,248764,18,0,1,2,8,6,2,2,1,1,10,0,3,10863,1018833,19352,0,9
332,7,4,589393,16,1,1,2,8,6,2,2,2,1,10,0,1,9170,748532,12236,0,8
335,7,4,616156,10,0,1,2,8,6,2,2,2,1,10,0,1,9738,549836,8142,0,8
337,7,4,232504,14,0,1,2,8,6,2,2,2,1,10,0,1,5934,878113,11010,0,8
338,7,4,592857,24,1,1,2,8,6,2,2,2,1,10,0,1,8582,1117517,9724,0,6
339,7,4,504633,16,0,1,2,8,6,2,2,2,1,10,0,1,8384,793923,19524,0,7
340,7,4,382050,10,1,1,2,8,6,2,2,2,1,10,0,3,3869,753555,18618,0,7
341,7,4,597877,18,0,1,2,8,6,2,2,2,1,10,0,2,7545,1312997,19236,0,7
342,7,4,705743,17,1,1,2,8,6,2,2,1,1,10,0,1,12477,1118417,8028,0,8
343,7,4,581730,14,0,1,2,8,6,2,2,1,1,10,0,3,7425,515666,13171,0,6
344,7,4,293134,10,1,1,2,8,6,2,2,3,1,10,0,2,12274,501933,12879,0,6
345,7,4,183640,14,0,1,2,8,6,2,2,3,1,10,0,3,9681,1103162,13107,0,7
347,7,4,754679,13,0,1,2,8,6,2,2,3,1,10,0,3,3850,1420722,13048,0,7
349,7,4,783321,20,0,1,2,8,6,2,2,2,1,10,0,2,4262,996752,10689,0,9
350,7,4,626006,13,1,1,2,8,6,2,2,1,1,10,0,2,11072,594515,13202,0,8
351,7,4,691634,24,0,1,2,8,6,2,2,1,1,10,0,3,8977,1430342,12375,0,7
352,7,4,145501,12,1,1,2,8,6,2,2,2,1,10,0,1,11671,783185,12259,0,8
353,7,4,541609,23,0,1,2,8,6,2,2,3,1,10,0,1,12352,935205,14651,0,7
354,7,4,692692,20,1,1,2,8,6,2,2,1,1,10,0,2,7137,986865,18103,0,6
356,7,4,447091,11,1,1,2,8,6,2,2,1,1,10,0,1,5819,722515,13293,0,6
357,7,4,677686,12,0,1,2,8,6,2,2,3,1,10,0,3,5922,587470,18411,0,7
358,7,4,338447,10,1,1,2,8,6,2,2,3,1,10,0,2,12348,1334665,17114,0,9
359,7,4,400689,16,0,1,2,8,6,2,2,1,1,10,0,2,9472,1158950,16762,0,8
360,7,4,414516,17,1,1,2,8,6,2,2,3,1,10,7,2,8961,1122098,17434,0,6
361,7,4,413987,18,0,1,2,8,6,2,2,2,1,10,7,2,6266,827766,14667,0,7
362,7,4,285678,10,1,1,2,8,6,2,2,2,1,10,7,1,4874,1246389,10997,0,9
363,7,4,314773,16,0,1,2,8,6,2,2,1,1,10,7,2,7457,1268514,14107,0,6
364,7,4,314431,16,1,1,2,8,6,2,2,1,1,10,7,2,5006,954706,11819,0,6
365,7,4,597116,10,0,1,2,8,6,2,2,3,1,10,7,2,11042,1071822,14820,0,7
366,7,4,607288,24,1,1,2,8,6,2,2,1,1,10,7,1,9212,518178,18732,0,8
367,7,4,740231,10,0,1,2,8,6,2,2,1,1,10,7,1,11928,771825,14323,0,8
